prompt,completion
"还要存钱，也就是坑钱。。这么坑

###

"," Negative
"
"请问资质？社保公积金代发工资？存款？房贷？谢谢

###

"," Neutral
"
"他这种现在很多银行都有，就是类似于平安的金童卡之类的，这种真正意义上不能算做什么信用卡，应该说是贷款，只是利息按天来收取...

###

"," Neutral
"
"他会送你一个新的卡?你也可以主动改变?应该是可以的，这个看自己需求吧，我觉得不错

###

"," Positive
"
"我也分期下卡。从来没提过额度。

###

"," Neutral
"
"本人近日误入广发银行的坑，以此教训‼️建议大家以后慎入广发银行信用卡‼️‼️

###

"," Negative
"
"利率是真香

###

"," Positive
"
"明明是你违反领用合约在先，结果反过头来投诉银行什么鬼。

###

"," Neutral
"
"欠钱不还难道不是活该？没有还款能力还敢大笔花钱，摆明了相当老赖

###

"," Negative
"
"这额度这年费，都让人上头

###

"," Negative
"
"我看到过一个案例啊。也是逾期很久直到被起诉了，银行也不敢动他储蓄卡里面的钱。最后法院判了用储蓄卡里面的钱强制还一部分，留一部分生活用。...

###

"," Negative
"
"微信支付宝刷??其他绑定不了

###

"," Neutral
"
"要不是民生耐操，我也销了，怎着刷都没电话来。分不值钱，不提额，也就这样了

###

"," Negative
"
"没出结果，也没电话回访，就稳了？

###

"," Neutral
"
"这就有点过分了，装修中突然不给了，这不是坑人吗？这种情况好像可以起诉他们

###

"," Negative
"
"招商银行的朝朝盈还是不错的

###

"," Positive
"
"我也是，一次性还款只肯减免违约金3600，利息差不多20000一分不少。我没同意。昨天投诉了，今天来电话要我撤诉，然后他跟总行那边申请减免。我就担心最后还是不给减免，...

###

"," Negative
"
"回访了吗？我工行的三天了都没回放呢

###

"," Neutral
"
"最近有张兴业卡不错，大白金2600元年费可以免

###

"," Positive
"
"在工行信用卡体系中，有好批好用的无界数字卡

###

"," Positive
"
"招商的额度不稳定，都不敢用了，以后给了临时额度，也还是不用的好。

###

"," Negative
"
"在你家附近做个地址，很方便的

###

"," Neutral
"
"千万别用广发 一用就后悔 他的所有业务都是坑

###

"," Negative
"
"什么都不用卡行。?这取决于具体的卡物种?上线很久了，但是没有人觉得好看

###

"," Neutral
"
"原来如此。。。老哥我再问下，卡账单一万，全额还了1万，然后又刷了出来，这样会有利息吗？

###

"," Neutral
"
"那些说刷卡消费时爽，还款时候痛苦的网友，这不是招商银行信用卡的锅，这是整个信用卡的特征！如果不能克制自己的消费欲望，那么可以考虑不办信用卡，而不是埋怨信用卡给自己带来痛苦。

###

"," Negative
"
"广发首卡必选犀利。返现给力方便。100我都薅了4年了。一年1200

###

"," Positive
"
"不是吧！我办的浦发的还是很快的

###

"," Positive
"
"不错的卡面

###

"," Positive
"
"已经到账，感谢各位老板

###

"," Positive
"
"非常方便，没必要，就算改了发卡，线分还是II卡，可以激活手机。

###

"," Positive
"
"我的零临时刚到期是不是下个月就可以提固定了？

###

"," Neutral
"
"有啊明明显示2次机会??点开却不行，这是为啥啊，好烦

###

"," Negative
"
"兴业银行好快啊，秒批额度38000元

###

"," Positive
"
"今天还了一半，剩下25000分期了，我的分期手续费特别高，年化13.59了

###

"," Negative
"
"老哥，你这个授信批2w叫放水？别误导人

###

"," Neutral
"
"平安只有8连

###

"," Neutral
"
"转账用。所以我觉得还是中行的最好，什么都不需要。APP也还行。

###

"," Positive
"
"申他干嘛，换家，那么多银行，非要在浦发挂死

###

"," Negative
"
"云闪付比这个麻烦

###

"," Negative
"
"每天都是几百块。刚刷了一次，收到短信3985元。啊哈，交通银行还是很靠谱的

###

"," Positive
"
"我都是秒批，很惊喜

###

"," Positive
"
"后面额度不知道好提不，据说5万以上不会提额，困难

###

"," Negative
"
"需要什么资料啊，我来准备下，安心些

###

"," Neutral
"
"工行额度挺高额！

###

"," Positive
"
"我个人推荐YE白，好下卡

###

"," Positive
"
"中行的房贷，e贷秒通过，20万额度

###

"," Neutral
"
"朋友没有，我有，信用卡额度还不错哦

###

"," Positive
"
"滴滴。我上车了。不知道卡片寄来我还能薅到吗，希望是可以的，薅羊毛很开心的

###

"," Positive
"
"并没有，招行的朝朝盈稳健还是可以的

###

"," Positive
"
"6万额度能高了，所以回去起诉你。真的起诉了？

###

"," Negative
"
"人生第一张信用卡就是建行的，标准金卡18000的额度很满意

###

"," Positive
"
"印象特别深，这是我第一张金卡，2008年我办下来了，也是我见过最漂亮的卡，没有之一，金灿灿的龙，看得心醉

###

"," Positive
"
"我刚查建行所有预审批都是暂无，也是醉了……工资卡社保卡公积金卡都是建行，一年流水保守也有25，前几年给我下了个信用卡，额度才2000……直接注销了，后面信用卡再也不成功了

###

"," Negative
"
"楼主什么时候完成任务的？现在，我的到了。开心啊

###

"," Positive
"
"分了就难提额了

###

"," Negative
"
"你是不好意思打击我么??，好伤心，直接关系到新工作的能不能留下的问题

###

"," Negative
"
"当时办卡就搬了20砖，主要是100万的行驶证有作用，额度还是满意的

###

"," Neutral
"
"颜值还是不错滴

###

"," Positive
"
"对，我是50k，满意了

###

"," Positive
"
"随你，想giao哪个giao哪个，反正都是不错的，看个人需求了

###

"," Positive
"
"招商外包。如果你必须全额偿还，他们应该得到佣金。

###

"," Negative
"
"恭喜，后期三加一

###

"," Positive
"
"不仅刷卡会限制，还款还会限制，，还不给涨额度，积分屁用没有。这种银行他怎么不倒闭呢

###

"," Negative
"
"刷了三十万多，也没说不让我刷啊，交通还不错

###

"," Positive
"
"你都试过啥协商??等我如果协商下来告诉你

###

"," Neutral
"
"楼主，从哪里申请的？这个额度喜人啊

###

"," Positive
"
"储蓄卡可以，招商的手机银行挺好用，比较适合你。

###

"," Positive
"
"办下来都是菜卡，卡多不好养！请问中信刷卡姿势？谢谢

###

"," Negative
"
"农行炫萌萌白金信用卡你值得拥有

###

"," Positive
"
"说没卡了，让办其他的，建行逗都

###

"," Negative
"
"确定，之前用过，还打电话给我索要，我说过几天给，然后没后续了，银行坑不坑

###

"," Negative
"
"我上月给的临时，这月不能提呀。怎么回事

###

"," Neutral
"
"小白卡不用上门。直接带着身份证去网点就好了。会让你开储蓄卡。你说不需要就好了

###

"," Neutral
"
"说移动操作要截取高频是有道理的！不过这个电话属于交行合作

###

"," Neutral
"
"这次坑定了

###

"," Negative
"
"兴业不错

###

"," Positive
"
"中信的利息有名的贵

###

"," Negative
"
"一般不会，白金卡还是很好用的

###

"," Positive
"
"小昭就是很慢

###

"," Negative
"
"权益是越来越少啊

###

"," Negative
"
"卡很难批。?我申请了15.8的名额，但是两次都没批，只是因为

###

"," Negative
"
"招行都换我5年黑屋了。他废我还怕他？？！

###

"," Negative
"
"卡员工申请，在银行上班就是好啊

###

"," Neutral
"
"我是3个月2次过的，开心的很

###

"," Positive
"
"不是扣款吧，就是固定额度，圆梦斤这些每个月在扣，你明天再问问，既然收了圆梦金的利息，凭什么不声不响就收回

###

"," Negative
"
"乌鲁木齐的吗？我也是啊，额度还是很满意的

###

"," Positive
"
"已经成功，额度10万

###

"," Positive
"
"为什么我发的不显示

###

"," Neutral
"
"广发金7.8k（17.9)~12k(18.8.3)

###

"," Positive
"
"直接网上申请。?民生普遍不错，筹集的金额也比较稳定

###

"," Positive
"
"招行还是支付宝最稳，动物都没他靠谱，天书太牛逼了

###

"," Positive
"
"别的不知道，建行APP属实难用。和招行广发完全不在一个水平

###

"," Negative
"
"读大学的时候办的young卡

###

"," Neutral
"
"手持经典白，印象中权益除了用了两次300+，2-3次银行休息室。其他也真没怎么充分使用，上周江浙飞机晚点取消的多，我也赶上了，晚点8个小时。报了延误险，一周多一点时间，赔付到账。高兴高兴

###

"," Positive
"
"那我周六周日收的全都没到。。。坑啊

###

"," Negative
"
"这个可以直接刷卡消费吗

###

"," Neutral
"
"这不科学，一般人浦发信用卡都是3万额度起呀

###

"," Negative
"
"查了征信

###

"," Neutral
"
"不能延期，只能用一个月，到期全额还。一定按这个来。否则你就永远入坑了。吃过这个亏，因为10w临额全部崩盘

###

"," Negative
"
"我4星加常年10几个小砖，他拒我76次，最近一年流水大概700多万吧，没见过那个预审批额度出来，我还是白户呢，应该不存在卡多问题，也没有贷款逾期，申什么拒什么，估计没人...

###

"," Negative
"
"不记仇吧，我之前销卡后前几个月申请又下了，只是额度更少了

###

"," Neutral
"
"如果逾期时间较长，逾期金额较大，就是把你加入银行黑名单，从此再也不能申请建行信用卡。

###

"," Negative
"
"光大_50k广发_46k邮政_40k建行_20k

###

"," Neutral
"
"鼎力支持身边的人注销兴业银行信用卡

###

"," Negative
"
"我每个账单周期都是刷掉总额度的80％，提额很快。

###

"," Positive
"
"单标我有了，最近visa双标返现活动好

###

"," Positive
"
"是的我也是这样感觉，资质可以就能申请到不错的额度

###

"," Positive
"
"搬那么多砖都才这么点额度？太小气了吧

###

"," Negative
"
"工行提额最成功且额度提升最大的方法莫过于工行的曲线提额

###

"," Positive
"
"我都是云闪付，没超过1000的，也提到10万了

###

"," Neutral
"
"那要咋办呢。蒙圈了

###

"," Neutral
"
"一般基金的话，自己多看多了解

###

"," Neutral
"
"上大学那会办过几张移动卡，都没正常销户，后来都欠费停机，后来就拉黑了。

###

"," Negative
"
"过了再说吧，额度靠后

###

"," Neutral
"
"因为我希望??工商银行还是比较靠谱的吧

###

"," Positive
"
"哈哈提额对我来说无所谓了。目前准备了100砖准备重推四大行了。其它行都准备销卡了。

###

"," Neutral
"
"楼主勾起了我们刚毕业时候的回忆，工资不高的时候，要想吃顿大餐就是到处去找优惠券，当时我用的也是招行信用卡，周三五折美食，要比支付宝口碑、大众点评优惠太多了

###

"," Positive
"
"费率低有什么用，还不知道能不能过呢，五六天了没反应

###

"," Negative
"
"要变天了么？搞的好心累啊

###

"," Negative
"
"老哥，这个道理我都懂，就是难啊，家家有本难念的经。不知道还3个月最低能不能了，三个月能还上25000。

###

"," Negative
"
"会上门我的1.7万今天上门了，还比较满意

###

"," Neutral
"
"每期账单刷多少笔？账单刷百分之多少？

###

"," Neutral
"
"还傻傻的养农业银行流水

###

"," Negative
"
"头铁继续申千秋，下了20k，额度还是不错的

###

"," Positive
"
"我六万才三个月就要拘留我，工行牛逼啊

###

"," Negative
"
"此事仍未解决????银行的效率好低

###

"," Negative
"
"成功率不高呗

###

"," Neutral
"
"菜卡，去特么的，无语平安

###

"," Negative
"
"建议别激活，激活就代表你认可额度了。建议申2卡，如果你行不多另外短期没有申请其它银行的情况下。记得走无卡通道，就是补充完整资料那个。。...

###

"," Neutral
"
"貌似即使不达标星级最撇也会保持在4星？应该是的，工商的星际就保持的不错

###

"," Positive
"
"不要怕，专心工作就结束了。他最多只能起诉。

###

"," Neutral
"
"我的反正批了，没有任何为难，就问了一些简单的问题。。。

###

"," Positive
"
"更新8,000cc以上硬币不等于100e卡。不知道下次什么时候发货

###

"," Neutral
"
"别来这造谣了。你这图根本看不出一卡二卡

###

"," Negative
"
"不太好过，我办之前有工农建中邮，第6行推民生，申请过了5天才电话征信，问的很详细，当天过了，下卡3万，因为去年疫情过了1个多月才去网点激活，5天后自动提额到3.6万，就...

###

"," Negative
"
"广州这边也是这样的，理财经理见不到100砖就跟你讲星星，要是看到有100砖了就像舔狗一样立马把你当大爷伺候着！

###

"," Negative
"
"当然是拿来买基金啊，白嫖多香。

###

"," Positive
"
"不会。基金需要长期持有

###

"," Neutral
"
"今天用了，秒批，平安的哦

###

"," Positive
"
"征信真的干净，很棒，房贷征信上是不会出岔子的，卡也不少了，申卡没瘾的话不用申了，贷后忽略的话你看看自己几个查询，优秀。...

###

"," Neutral
"
"工行:2.8w-20.4月4w降

###

"," Neutral
"
"分期大法跟风下卡50000，普提一次，65000。

###

"," Neutral
"
"靠，白金卡还有这福利？我特么金卡就只有一句生日快乐，早知道办个白金了

###

"," Negative
"
"48期可以了，我18个想分36期招商都不同意

###

"," Negative
"
"网申c标白下了1.8W。连买个全幅单反都用不了…服了…

###

"," Negative
"
"我还要倒霉，她妈的给我打电话现金分期提额，都谈好了1万分18期....结果不通过卧槽了真的见鬼了

###

"," Negative
"
"去年这个时候看论坛民生满屏的提额，二连三连的一大片，忍不住网申了标白，秒批三万，批卡倒是挺赞的，问题...

###

"," Positive
"
"正常现象，白金以下复习大概4周，加上元旦，3号申请8号领

###

"," Neutral
"
"民生真的不错

###

"," Positive
"
"推荐五到六个银行吧，兴业绝对是良心

###

"," Positive
"
"拉卡拉还封顶啊？那不错啊，我也是20万，准备4万一刷，分几次刷出来。没出现什么问题吧？

###

"," Positive
"
"支付有礼活动不会是短期活动吧？

###

"," Neutral
"
"mark，其实去买招商的基金还是不错的

###

"," Positive
"
"各位路过大佬知道吗，额度怎么提的快

###

"," Neutral
"
"俺批了两万美滋滋。。

###

"," Positive
"
"唉兄弟，逾期3万，我一个月存1000。

###

"," Neutral
"
"建设银行提额很慢的……

###

"," Negative
"
"没办法，人家广发银行可神气了，欠钱没还是我不对，但是他们就差趾高气昂的对着你说你这是国家款，不还钱你就等着律师函吧，你想分期也不给你分期，反正只想赚钱，真为中国有这样的银行感到耻辱

###

"," Negative
"
"现在招商都要打工作电话核实，只要工作没问题就行，

###

"," Positive
"
"有足额工资流水或者砖就可以

###

"," Neutral
"
"招商银行的积分更好用

###

"," Positive
"
"客服怎么说？我看我的也是这样半天没反应。等的很着急啊

###

"," Neutral
"
"进度显示已下发了，是不是稳了

###

"," Neutral
"
"但是很烦，我基本不用。反而主卡招商的几千几万的刷也没事，兴业的也办了快三年了，用户体验也不怎么好才注销的

###

"," Negative
"
"不用人神共愤，大妈愤就够了。

###

"," Negative
"
"都有，放心吧，招行服务还是很好的

###

"," Positive
"
"最近又申请成功了工行香格里拉白

###

"," Neutral
"
"现在查到了，显示录入，开心的

###

"," Positive
"
"工行信用卡提额是最给力的，不要担心结果

###

"," Positive
"
"不错了，说我额度使用率低不给我提捏！我看别人一个月几块钱的消费不照样提

###

"," Positive
"
"一样下卡三千，一年才首提

###

"," Neutral
"
"你要随便填一个单位吗？

###

"," Neutral
"
"广东能给你都不错了，0755基本不给:L

###

"," Positive
"
"我的也是三个法案逾期了，让我先交最低的再分期。

###

"," Neutral
"
"用拉某拉小心被降额，经常跳码跳加油站超市。换个其他的

###

"," Neutral
"
"我比你狠，你是因为征信降一半，我是因为套现被一刀撸了

###

"," Negative
"
"下了，应该很快就会收到信用卡

###

"," Neutral
"
"安全激活非常简单。也可以去郑州。交通便利?在郑州

###

"," Positive
"
"你可以关注微信里的招商银行信用卡公众号，查询，也可以登录手机银行app信用卡查询进度，过指定过了，它只不过有3-7天制卡期和邮寄

###

"," Neutral
"
"激活之后随意加办金普卡不查征信

###

"," Neutral
"
"一百多还要打电话问，邮政就是麻烦，要和影要拍签字照

###

"," Neutral
"
"2019卡3万元，2020年12月注销，2021年12月注销

###

"," Neutral
"
"恭喜提鹅

###

"," Positive
"
"这个提示很温柔，建设还是可以的

###

"," Positive
"
"哪里申请啊中国工商银行app里没找到

###

"," Neutral
"
"别的卡我不知道，我朋友平安35k冷冻一年没用卡，直接降到3k

###

"," Negative
"
"招行APP做的确实比那些带中国的好不少

###

"," Negative
"
"是的，我不能上去，但我怕以后不会怀恨在心。卡

###

"," Negative
"
"你面签审核好快。我的还没审核呢，资料处理中

###

"," Positive
"
"你都十行卡了??建行卡基本无望了

###

"," Negative
"
"就这种，建设银行的基金就很给力的

###

"," Positive
"
"协商试试，上次浦发的协商成功了

###

"," Positive
"
"会真的上门吗，会联系紧急联系人之外的人吗

###

"," Neutral
"
"现在改名叫银保监会了??这事应该是银保监会管

###

"," Neutral
"
"今天看进度都是，提额应该很快了

###

"," Positive
"
"那我网上申请，激活的时候还是要被刁难。这也太离谱了。

###

"," Negative
"
"今年准备买房了，老爹要退休了让我做主贷人，拉了一波征信，我这种情况，房贷应该很快下来吧

###

"," Neutral
"
"建行下卡33k，不错吧

###

"," Positive
"
"交通注销了不是记仇吗？你资质很好?几行了?

###

"," Negative
"
"不错了年龄那么小就有那么多卡就不错了，好好用

###

"," Positive
"
"点击获取验证码，会弹窗口，才输入你的手机号码

###

"," Neutral
"
"点好了，固定第二天才会同步，我也没专享额度

###

"," Neutral
"
"是每期都要利息和分期费吧？

###

"," Neutral
"
"Aaa查看激活卡号，在微信激活，微信直接用卡号绑定

###

"," Neutral
"
"2年没提吗，还是3k，招行个渣渣

###

"," Neutral
"
"不秒拒机会很大，我跟我哥都是昨天申请的，我申请的苏宁易购，他申请的英雄联盟刚才都通过了

###

"," Neutral
"
"牛批泼辣死，工行每次都很牛的

###

"," Negative
"
"招商黑羊金12k—14k—18k—22k—29k(19.4—19.7—19.10—20.04)

###

"," Neutral
"
"首卡能看到额度？

###

"," Neutral
"
"其他野鸡行全已销户

###

"," Negative
"
"楼主怎么出的预审批？买的基金多少啊？这4个月预审批就是一直是1W吗？

###

"," Neutral
"
"额度没出，刷5次免年费，销了黑白菜用这个（没实体卡的话）+实体普卡，权益额度可以

###

"," Neutral
"
"微信关注深圳信访??我要写信，开心一下

###

"," Positive
"
"兴业一生黑

###

"," Negative
"
"亏死了，撸一万就要60手续费

###

"," Neutral
"
"额度多少，老哥！

###

"," Neutral
"
"我也有推荐名额，但是觉得不靠谱，怕派人。

###

"," Negative
"
"异地前缀激活了，舒服

###

"," Positive
"
"城市里所有银行都在你附近，你可以去百度找工作。心累啊

###

"," Negative
"
"恭喜，社保基数不低吧？

###

"," Positive
"
"有小字都是一万.我下了8000帮我一起骂吧我的也没到，坑不坑

###

"," Negative
"
"额度高有屁用，就好像借了不还似的！

###

"," Negative
"
"深圳也是啊，开始说单六星就得了，后来填表要见到100砖，太坑了

###

"," Negative
"
"提前恭祝楼主下卡，下来了，通知一下，我好看看有没有水，好嘛

###

"," Positive
"
"恭喜恭喜！白金了么？

###

"," Positive
"
"你这操作就叫做不知好歹，不先掂量下自己的资质。

###

"," Neutral
"
"大妈小昭贷款方便！中行活动划算

###

"," Positive
"
"明天我就要去激活顺德农商了

###

"," Neutral
"
"目前还没有，但说就是这两天，应该很快了，等着吧

###

"," Neutral
"
"我的12万网捷贷目前逾期，打总行说问放款行，打放款行他们也不知道，太特么难了，

###

"," Negative
"
"看了建行是你的真爱了！不过建行确实好用！

###

"," Positive
"
"招商银行信用卡是好卡，用卡的朋友里大部分都推荐招商银行信用卡，简简单单三个月，一提两年之内毕业，临时额度可以到固定额度的2.5倍，好好用，绝对是一张好卡

###

"," Positive
"
"都是垃圾银行，农行??民生留下，其他全销

###

"," Negative
"
"招行活动多，给你撸羊毛还不好。我是想要它家白金卡都不够格。招行信用卡不说多，一年最少最少3、500羊毛有的

###

"," Positive
"
"建行四大行之一，龙头企业，银行界的翘楚，所以建行在积分兑换这块，我觉得还不算吝啬

###

"," Positive
"
"问了个中介说他有办法把快贷申请下来，我不是很相信

###

"," Negative
"
"可能这就是命吧，首卡3k二卡3k，三卡3k

###

"," Neutral
"
"毕业生信用卡额度不高，同时征信会记录从你花第一笔信用卡开始的所有信用卡消费，一旦逾期，就完蛋了

###

"," Negative
"
"我的临时前几天没了，心累啊

###

"," Negative
"
"估计是的了，我在掌上生活看到优惠了

###

"," Neutral
"
"Young卡是一张面向年轻人的信用卡，申请年龄限制在30周岁以下，这张卡的申请门槛相对比较低，容易下卡

###

"," Positive
"
"我用的是现金分期，现在暂时一年没固定，之前也没提。

###

"," Neutral
"
"可以提，行数不多负债不高招商提额很稳

###

"," Positive
"
"朋友你这三个500是什么时候什么时候的？当我发现的时候，心累么

###

"," Negative
"
"不同意银行都这样，伤心

###

"," Negative
"
"建设喜欢平均额度高一点点但是一般不会仿别的银行的！你卡额度不低一般都会在我说的那个额度浮动吧！不过你也可能像别的卡友下卡6万以上！！今天去面签看下吧...

###

"," Neutral
"
"这么优秀

###

"," Positive
"
"进度显示已经发了，就是不知道额度

###

"," Neutral
"
"建议办张招商银行或者广发银行信用卡，商业银行信用卡比四大国有银行卡活动多点

###

"," Neutral
"
"不会养?需要卖卡重申，额度也不错的

###

"," Positive
"
"还有，如果银行逾期或者应该换种方式封存卡，不影响其他。

###

"," Neutral
"
"你单位和住址都前缀省会了吗？另外你去激活的时候，有要求填写地址吗？难道也是重复前缀地址填写？

###

"," Neutral
"
"招商证实不行，

###

"," Negative
"
"等三倍提吧，我也是3000，好无奈

###

"," Negative
"
"不错不错提额方面有什么心得体会吗想学习一下

###

"," Positive
"
"这么惨的嘛，一直都批的额度很低

###

"," Negative
"
"开卡就要收取这笔费用，我这几年开了多少张卡，在有这个app之前，还真没有注意到这一点，我简直要疯了

###

"," Negative
"
"塑料管很满是个什么意思:L

###

"," Neutral
"
"我昨天拿到卡15000，等下去激活

###

"," Neutral
"
"出数字不管临时和固定都稳的很

###

"," Positive
"
"2.5的利息，真爽

###

"," Positive
"
"中国银行这么好下？

###

"," Positive
"
"活着真累.以贷养贷.贷贷相传。

###

"," Negative
"
"没有，是个储蓄卡，当然如果里面有更多的砖，我就分开说?

###

"," Neutral
"
"一般体制内企业、世界500强，中层干部以上。50万年薪加持。额度会低么

###

"," Negative
"
"优质客户，57000额度，额度美丽

###

"," Positive
"
"是，但不能拉平

###

"," Neutral
"
"招行信用卡是很多人的第一张卡，是因为它的确是有很多优点。

###

"," Positive
"
"招行逾期保险，但是卡用户还是要买一个..

###

"," Neutral
"
"我办理的第一张工行信用卡就是分期卡，当是只给了1万额度，又申了一张军魂卡，给提了1万，算是曲线到2万。分期信用卡额度不够1万是不能办E分期的。我媳妇工行首卡额度30...

###

"," Neutral
"
"不需要??直接去中信银行办一张储蓄卡??直接放款就出来了??第一次见有人25万额度的??牛逼

###

"," Negative
"
"可以多刷，刷到80%额度时。立即还完中间隔一天后继续刷效果也不错！

###

"," Positive
"
"去年这个时候看论坛民生满屏的提额，二连三连的一大片，忍不住网申了标白，秒批三万，批卡倒是挺赞的，问题是一年了，临时现分都没见过，各种姿势用尽，除了没搬砖偶尔没接...

###

"," Positive
"
"我打电话投诉了。网点让我星期一去办，这浦发真的是非要投诉才可以

###

"," Negative
"
"业务员上门来办理的，非常方便

###

"," Positive
"
"有，刚看到有两个套餐版本，还是很适合上班族的，招行的卡很手欢迎

###

"," Positive
"
"云闪付可以看得到

###

"," Neutral
"
"民生要求不是很高吗？、、、黑户也能过？我想送我的头?

###

"," Negative
"
"把卡放家里让别人帮刷，这样额度也很快长起来

###

"," Neutral
"
"不在黑屋也不提，去注销了吧

###

"," Negative
"
"销，注销算了

###

"," Neutral
"
"平安的备用金太坑别用，我提前还了扣了3%，打电话怼回来了

###

"," Negative
"
"这是那个卡种啊我也去试试

###

"," Neutral
"
"房产净值255??还是总值255??这条件不错了啊??应该能过吧

###

"," Positive
"
"以后不打了吧。哈哈，我以为我套100多都被监控了。太坑了

###

"," Negative
"
"我没用过，所以也不太清楚，可以在论坛里搜一下这方面的帖子

###

"," Neutral
"
"你要把民生撸破产吗

###

"," Negative
"
"兑礼品。充话费试试，各种羊毛都可以薅起来，超值

###

"," Positive
"
"我注销了，410省份网点核身太麻烦，要么工作地和户籍地一致，要么户籍地是网点所在城区。上面两点有任何一点不符就必须在工作地所在的网点带工作证明才能面签。我户籍许...

###

"," Negative
"
"很多卡友看给了临时就用了，其实建行用了临时会延长提固定的周期的。

###

"," Neutral
"
"有讲究吗，直接去线下支行找还是咋找。浦发的支行都好少的

###

"," Neutral
"
"爱几把降就降，不敢用了，惹不起，还不如好好养招商

###

"," Negative
"
"我等了17天了。。。太慢了

###

"," Negative
"
"当月帐单只有五百多块RMB也有客服打电话让你分期，可以想像中信有多差了么？

###

"," Negative
"
"啥活动，兴业最近是啥活动

###

"," Neutral
"
"基本能过，兴业的卡是非常好批的

###

"," Positive
"
"傲娇的银行，现在我都不敢申请，哎，之前招行还是不错的

###

"," Positive
"
"广发银行的卡千万别办，风控很差，出了事情根本不管你死活

###

"," Negative
"
"试试？是不是秒批？中信必须秒啊

###

"," Positive
"
"延期20天左右，也算给点时间吧，交通还是很人性的

###

"," Positive
"
"恭喜，怎么看临时固定额度

###

"," Positive
"
"密码器不要钱吧？前年柜台办理u盾客服说过时了半个密码器好了，而且没花钱，送的啊

###

"," Neutral
"
"我也是不明不白掉进了广发这个坑，本金额度41000，最近才发现说我欠7万多，有3万是分期额度。我完全不知情，不知道怎么维权...

###

"," Negative
"
